Model,NAA_cor,NAA_sigma,R_how,conv,pdHess,runtime,NLL,dAIC,AIC,rho_R,rho_SSB,rho_Fbar
m1,---,---,none,TRUE,TRUE,0.02,-623.53,  0.0,-1387.2,0.176,0.009,-0.015
m2,iid,rec,none,TRUE,TRUE,0.15,-509.511,  1.4,-1385.8,0.209,0.019,-0.025
m3,ar1_y,rec,none,TRUE,TRUE,0.14,-527.116, 10.7,-1376.5,0.249,0.015,-0.020
m4,iid,rec+1,none,TRUE,TRUE,0.06,-745.447, 17.1,-1370.1,0.240,0.030,-0.039
m5,ar1_a,rec+1,none,TRUE,TRUE,0.07,-759.028, 18.7,-1368.5,0.308,0.030,-0.014
m6,ar1_y,rec+1,none,TRUE,TRUE,0.07,-753.699, 25.4,-1361.8,0.325,0.051,-0.042
m7,2dar1,rec+1,none,TRUE,TRUE,0.08,-763.264, 27.8,-1359.4,0.437,0.036,-0.017
m8,iid,rec,limiting-lag-1-linear,TRUE,TRUE,0.15,-520.571, 42.3,-1344.9,0.423,0.068,-0.058
m9,ar1_y,rec,limiting-lag-1-linear,TRUE,TRUE,0.15,-531.19,364.1,-1023.1,8.818,0.951,-0.433
m10,iid,rec+1,limiting-lag-1-linear,TRUE,TRUE,0.06,-754.897,472.8, -914.4,2.386,1.008,-0.439
m11,ar1_a,rec+1,limiting-lag-1-linear,TRUE,TRUE,0.07,-767.876,479.0, -908.2,3.390,0.990,-0.440
m12,ar1_y,rec+1,limiting-lag-1-linear,TRUE,TRUE,0.07,-759.243,492.1, -895.1,2.340,1.022,-0.424
m13,2dar1,rec+1,limiting-lag-1-linear,TRUE,TRUE,0.08,-769.605,512.2, -875.0,5.054,1.023,-0.437
