"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m13",0,-1387.2,0.1756,0.0094,-0.0145
"m11",1.4,-1385.8,0.2094,0.019,-0.0252
"m7",10.7,-1376.5,0.2487,0.0147,-0.0195
"m5",17.1,-1370.1,0.2403,0.0304,-0.0389
"m12",18.7,-1368.5,0.3078,0.0305,-0.0137
"m10",25.4,-1361.8,0.3252,0.051,-0.0415
"m6",27.8,-1359.4,0.437,0.036,-0.0168
"m4",42.3,-1344.9,0.4227,0.0683,-0.0577
"m1",364.1,-1023.1,8.8175,0.951,-0.4329
"m9",472.8,-914.4,2.3856,1.0075,-0.4387
"m3",479,-908.2,3.3902,0.9904,-0.4399
"m8",492.1,-895.1,2.3395,1.0215,-0.4238
"m2",512.2,-875,5.0538,1.0231,-0.4367
